 	&wdblac; 
 	&Wdblac; 
ẁ 	&wgrave; 
Ẁ 	&Wgrave; 
ŵ 	&wcirc; 
Ŵ 	&Wcirc; 
ẘ 	&wring; 
 	&wmacr; 
 	&Wmacr; 
 	&wasup; 
 	&wesup; 
 	&Wesup; 
 	&wisup; 
 	&wosup; 
 	&wusup; 
 	&wvsup; 
x 	— 
X 	— 
 	&xenl; 
 	&xscap; 
ˣ 	&xmod; 
 	&xslashula; 
 	&xslashlra; 
 	&Xovlhigh; 
	&xldes;
y 	— 
Y 	— 
 	&yenl; 
ʏ 	&yscap; 
 	&ybar; 
 	&ycurl; 
 	&Ycurl; 
ỵ 	&ydotbl; 
Ỵ 	&Ydotbl; 
ẏ 	&ydot; 
Ẏ 	&Ydot; 
ÿ 	&yuml; 
Ÿ 	&Yuml; 
ý 	&yacute; 
Ý 	&Yacute; 
 	&ydblac; 
 	&Ydblac; 
 	&ydotacute; 
 	&Ydotacute; 
ỳ 	&ygrave; 
Ỳ 	&Ygrave; 
ŷ 	&ycirc; 
Ŷ 	&Ycirc; 
ẙ 	&yring; 
ỷ 	&yhook; 
Ỷ 	&Yhook; 
 	&ybreve; 
 	&Ybreve; 
ȳ 	&ymacr; 
Ȳ 	&Ymacr; 
 	&ymacrbreve; 
 	&Ymacrbreve; 
 	&ymacracute; 
 	&Ymacracute; 
ꝡ 	&yylig; 
Ꝡ 	&YYlig; 
 	&yyliguml; 
 	&YYliguml; 
 	&yyligdblac; 
 	&YYligdblac; 
 	&yesup; 
 	&yrgmainstrok; 
ỿ 	&yloop; 
Ỿ 	&Yloop; 
z 	— 
Z 	— 
 	&zenl; 
ᴢ 	&zscap; 
ƶ 	&zstrok; 
Ƶ 	&Zstrok; 
ẓ 	&zdotbl; 
Ẓ 	&Zdotbl; 
ż 	&zdot; 
Ż 	&Zdot; 
ꝣ 	&zvisigot; 
Ꝣ 	&Zvisigot; 
ʒ 	&ezh; 
Ʒ 	&EZH; 
ȝ 	&yogh; 
Ȝ 	&YOGH; 
þ 	&thorn; 
Þ 	&THORN; 
 	&thornenl; 
 	&thornscap; 
ꝥ 	&thornbar; 
Ꝥ 	&THORNbar; 
 	&thornovlmed; 
 	&thornbarslash; 
 	&THORNbarslash; 
ꝧ 	&thornbardes; 
Ꝧ 	&THORNbardes; 
 	&thorndotbl; 
 	&THORNdotbl; 
 	&thornacute; 
 	&thornslonglig; 
 	&thornslongligbar; 
 	&thornrarmlig; 
0	— 
1	— 
2	— 
3	— 
4	— 
5	— 
6	— 
7	— 
8	— 
9	— 
¼ 	&frac14; 
½ 	&frac12; 
¾ 	&frac34; 
⁰ 	&sup0; 
¹ 	&sup1; 
² 	&sup2; 
³ 	&sup3; 
⁴ 	&sup4; 
⁵ 	&sup5; 
⁶ 	&sup6; 
⁷ 	&sup7; 
⁸ 	&sup8; 
⁹ 	&sup9; 
₀ 	&sub0; 
₁ 	&sub1; 
₂ 	&sub2; 
₃ 	&sub3; 
₄ 	&sub4; 
₅ 	&sub5; 
₆ 	&sub6; 
₇ 	&sub7; 
₈ 	&sub8; 
₉ 	&sub9; 
ↀ 	&romnumCDlig; 
ↁ 	&romnumDDlig; 
ↂ 	&romnumDDdbllig; 
Ↄ 	&romnumCrev; 
 	&romnumCrevovl; 
ᴵ 	&Imod; 
 	&Vmod; 
 	&Xmod; 
◌ͣ 	&asup; 
◌ᷔ 	&aeligsup; 
◌ 	&anligsup; 
◌ 	&anscapligsup; 
◌ᷕ 	&aoligsup; 
◌ 	&arligsup; 
◌ 	&arscapligsup; 
◌ᷖ 	&avligsup; 
◌ 	&bsup; 
◌ 	&bscapsup; 
◌ͨ 	&csup; 
◌ᷗ 	&ccedilsup; 
◌ͩ 	&dsup; 
◌ᷘ 	&drotsup; 
◌ᷙ 	&ethsup; 
◌ 	&dscapsup; 
◌ͤ 	&esup; 
◌ 	&eogonsup; 
◌ 	&emacrsup; 
◌ 	&fsup; 
◌ᷚ 	&gsup; 
◌ᷛ 	&gscapsup; 
◌ͪ 	&hsup; 
◌ͥ 	&isup; 
◌ 	&inodotsup; 
◌ 	&jsup; 
◌ 	&jnodotsup; 
