	&qenl;	EEF2
	&qscap;	EF0C
ꝙ	&qslstrok;	A759
Ꝙ	&Qslstrok;	A758
ꝗ	&qbardes;	A757
Ꝗ	&Qbardes;	A756
	&qbardestilde;	E68B
	&q2app;	E8B3
	&q3app;	E8BF
	&qcentrslstrok;	E8B4
	&qdotbl;	E688
	&Qdotbl;	E288
	&qdot;	E682
	&Qdot;	E282
	&qmacr;	E681
	&qvinslig;	EAD1
	&Qstem;	F22C
r	?	0072
R	?	0052
	&renl;	EEF3
ʀ	&rscap;	0280
Ʀ	&YR;	01A6
ɼ	&rdes;	027C
	&rdesstrok;	E7E4
ꝵ	&rtailstrok;	A775
ꝶ	&rscaptailstrok;	A776
℞	&Rtailstrok;	211E
℟	&Rslstrok;	211F
ṛ	&rdotbl;	1E5B
Ṛ	&Rdotbl;	1E5A
ṙ	&rdot;	1E59
Ṙ	&Rdot;	1E58
	&rscapdot;	EF22
ŕ	&racute;	0155
Ŕ	&Racute;	0154
	&rringbl;	E6A3
	&rscapdotbl;	EF2B
	&resup;	E8EA
ꝛ	&rrot;	A75B
Ꝛ	&Rrot;	A75A
	&rrotdotbl;	E7C1
	&rrotacute;	EBB9
ꞃ	&rins;	A783
Ꞃ	&Rins;	A782
	&rflour;	F19B
s	?	0073
S	?	0053
	&senl;	EEF4
ꜱ	&sscap;	A731
ṡ	&sdot;	1E61
Ṡ	&Sdot;	1E60
	&sscapdot;	EF23
ś	&sacute;	015B
Ś	&Sacute;	015A
ṣ	&sdotbl;	1E63
Ṣ	&Sdotbl;	1E62
	&sscapdotbl;	EF2C
ß	&szlig;	00DF
ẞ	&SZlig;	1E9E
	&slongaumllig;	EBA0
	&slongchlig;	F4FA
	&slonghlig;	EBA1
	&slongilig;	EBA2
	&slongjlig;	F4FB
	&slongklig;	F4FC
	&slongllig;	EBA3
	&slonglbarlig;	E8DF
	&slongoumllig;	EBA4
	&slongplig;	EBA5
	&slongslig;	F4FD
	&slongslonglig;	EBA6
	&slongslongilig;	EBA7
	&slongslongklig;	F4FE
	&slongslongllig;	EBA8
	&slongslongtlig;	F4FF
ﬆ	&stlig;	FB06
ﬅ	&slongtlig;	FB05
	&slongtilig;	EBA9
	&slongtrlig;	EBAA
	&slonguumllig;	EBAB
	&slongvinslig;	EBAC
	&slongdestlig;	EADA
ſ	&slong;	017F
	&slongenl;	EEDF
ẜ	&slongbarslash;	1E9C
ẝ	&slongbar;	1E9D
	&slongovlmed;	E79E
	&slongslstrok;	E8B8
	&slongflour;	E8B7
	&slongacute;	EBAF
	&slongdes;	F127
	&slongdotbl;	E7C2
	&Sclose;	F126
	&sclose;	F128
ꞅ	&sins;	A785
Ꞅ	&Sins;	A784
t	?	0074
T	?	0054
	&tenl;	EEF5
ᴛ	&tscap;	1D1B
ꝷ	&ttailstrok;	A777
	&togon;	E6EE
	&Togon;	E2EE
ṭ	&tdotbl;	1E6D
Ṭ	&Tdotbl;	1E6C
ṫ	&tdot;	1E6B
Ṫ	&Tdot;	1E6A
	&tscapdot;	EF24
	&tscapdotbl;	EF2D
	&tacute;	E6E2
	&Tacute;	E2E2
	&trlig;	EED8
	&ttlig;	EED9
	&trottrotlig;	EEDA
	&tylig;	EEDB
	&tzlig;	EEDC
ꞇ	&trot;	A787
Ꞇ	&Trot;	A786
	&tcurl;	F199
u	?	0075
U	?	0055
	&uenl;	EEF7
ᴜ	&uscap;	1D1C
ʉ	&ubar;	0289
ų	&uogon;	0173
Ų	&Uogon;	0172
	&ucurl;	E731
	&Ucurl;	E331
ụ	&udotbl;	1EE5
Ụ	&Udotbl;	1EE4
	&ubrevinvbl;	E727
	&udot;	E715
	&Udot;	E315
ü	&uuml;	00FC
Ü	&Uuml;	00DC
ú	&uacute;	00FA
Ú	&Uacute;	00DA
ű	&udblac;	0171
Ű	&Udblac;	0170
	&udotacute;	EBFF
	&Udotacute;	EBFE
ù	&ugrave;	00F9
Ù	&Ugrave;	00D9
	&uvertline;	E724
	&Uvertline;	E324
û	&ucirc;	00FB
Û	&Ucirc;	00DB
	&uumlcirc;	E717
	&Uumlcirc;	E317
ǔ	&ucar;	01D4
Ǔ	&Ucar;	01D3
ů	&uring;	016F
Ů	&Uring;	016E
ủ	&uhook;	1EE7
Ủ	&Uhook;	1EE6
	&ucurlbar;	EBBF
ŭ	&ubreve;	016D
Ŭ	&Ubreve;	016C
ū	&umacr;	016B
Ū	&Umacr;	016A
	&umacrbreve;	E70B
	&Umacrbreve;	E30B
	&umacracute;	E709
	&Umacracute;	E309
ǖ	&uumlmacr;	01D6
Ǖ	&Uumlmacr;	01D5
	&uelig;	E8C9
	&UElig;	E8C8
	&uulig;	E8C7
	&UUlig;	E8C6
	&uuligdblac;	EFD8
	&UUligdblac;	EFD9
	&uasup;	E8EB
	&uesup;	E72B
	&Uesup;	E32B
	&uisup;	E72C
	&uosup;	E72D
	&Uosup;	E32D
	&uvsup;	E8EC
	&uwsup;	E8ED
v	?	0076
V	?	0056
	&venl;	EEF8
ᴠ	&vscap;	1D20
	&vbar;	E74E
	&vslash;	E8BA
	&vslashura;	E8BB
	&vslashuradbl;	E8BC
ꝟ	&vdiagstrok;	A75F
Ꝟ	&Vdiagstrok;	A75E
℣	&Vslstrok;	2123
ṿ	&vdotbl;	1E7F
Ṿ	&Vdotbl;	1E7E
	&vdot;	E74C
	&Vdot;	E34C
	&vuml;	E742
	&Vuml;	E342
	&vacute;	E73A
	&Vacute;	E33A
	&vvertline;	E74F
	&Vvertline;	E34E
	&vdblac;	E74B
	&Vdblac;	E34B
	&vcirc;	E73B
	&Vcirc;	E33B
	&vring;	E743
	&vmacr;	E74D
	&Vmacr;	E34D
	&Vovlhigh;	F7B2
ƿ	&wynn;	01BF
Ƿ	&WYNN;	01F7
ꝩ	&vins;	A769
Ꝩ	&Vins;	A768
	&vinsdotbl;	E7E6
	&Vinsdotbl;	E3E6
	&vinsdot;	E7E7
	&Vinsdot;	E3E7
	&vinsacute;	EBBB
	&Vinsacute;	EBBA
ỽ	&vwelsh;	1EFD
Ỽ	&Vwelsh;	1EFC
w	?	0077
W	?	0057
	&wenl;	EEF9
ᴡ	&wscap;	1D21
ẉ	&wdotbl;	1E89
Ẉ	&Wdotbl;	1E88
ẇ	&wdot;	1E87
Ẇ	&Wdot;	1E86
ẅ	&wuml;	1E85
Ẅ	&Wuml;	1E84
ẃ	&wacute;	1E83
Ẃ	&Wacute;	1E82
	&wdblac;	E750
	&Wdblac;	E350
ẁ	&wgrave;	1E81
Ẁ	&Wgrave;	1E80
ŵ	&wcirc;	0175
Ŵ	&Wcirc;	0174
ẘ	&wring;	1E98
	&wmacr;	E757
	&Wmacr;	E357
	&wasup;	E8F0
	&wesup;	E753
	&Wesup;	E353
	&wisup;	E8F1
	&wosup;	E754
	&wusup;	E8F2
	&wvsup;	E8F3
x	?	0078
X	?	0058
	&xenl;	EEFA
	&xscap;	EF11
ˣ	&xmod;	02E3
ꭗ	&xdes;	AB57
	&xslashula;	E8BD
	&xslashlra;	E8BE
	&xslashlradbl;	E8CE
	&Xovlhigh;	F7B3
y	?	0079
Y	?	0059
	&yenl;	EEFB
ʏ	&yscap;	028F
	&ybar;	E77B
	&ycurl;	E785
	&Ycurl;	E385
ỵ	&ydotbl;	1EF5
Ỵ	&Ydotbl;	1EF4
ẏ	&ydot;	1E8F
Ẏ	&Ydot;	1E8E
ÿ	&yuml;	00FF
Ÿ	&Yuml;	0178
ý	&yacute;	00FD
